"nome_congresso","sigla_congresso","estrato_qualis"
"DBKDA - IARIA International Conference on Advances in Databases, Knowledge, and Data Applications","DBKD-AIARIA","B5"
"DCAI - International Symposium on Distributed Computing and Artificial Intelligence","DCAI","B2"
"DCC - Data Compression Conference","DCC","B1"
"DCC - ACM Workshop on Distributed Cloud Computing","DCCW","B4"
"DCM - International Workshop on Developments in Computational Models","DCM","B5"
"DCOSS - International Conference on Distributed Computing in Sensor Systems","DCOSS","A2"
"DDECS - IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems","DDECS","B1"
"DEBS - International Conference on Distributed and Event-Based Systems","DEBS","A2"
"DepCoS-RELCOMEX - International Conference on Dependability and Complex Systems","DEPCOS","B3"
"DesafIE - Workshop de Desafios da Computação Aplicada à Educação","DESAFIE","B5"
"DESE - International Conference on Developments in eSystems Engineering","DESE","B2"
"DESWEB - International Workshop on Data Engineering meets the Semantic Web","DESWEB","B4"
"SWQD - Conference Software Quality Days","SWQD","B3"
"DEXA - International Conference on Database and Expert Systems Applications","DEXA","B1"
"DFT - IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems","DFT","B1"
"DG.O - Annual International Conference on Digital Government Research","DGO","B1"
"DH - Digital Heritage","DH","B2"
"DHM - International Conference on Digital Human Modeling - Applications in Health, Safety, Ergonomics and Risk Management","DHM","B2"
"DILS - International Conference on Data Integration in Life Sciences","DILS","B2"
"DISN - Workshop on Dependability Issues on SDN and NFV","DISN","B4"
"DIVANET - ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications","DIVANET","B2"
"DMNPL - Workshop on Interactions between Data Mining and Natural Language Processing","DMNPL","B4"
"DMS - International Conference on Distributed Multimedia Systems","DMS","B3"
"DOCENG - ACM SIGWEB International Symposium on Document Engineering","DOCENG","B1"
"DOLAP - International Workshop On Data Warehousing and OLAP","DOLAP","B1"
"DRCN - International Conference on the Design of Reliable Communication Networks","DRCN","B1"
"DS - International Conference on Discovery Science","DS","B3"
"DSAA - IEEE International Conference on Data Science and Advanced Analytics","DSAA","B3"
"DSAI - International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion","DSAI","B2"
"DSD - Euromicro Conference on Digital System Design","DSD","B1"
"DSN - Annual IEEE/IFIP International Conference on Dependable Systems and Networks","DSN","A1"
"DSNW - IEEE International Conference on Dependable Systems and Networks Workshops","DSNW","B4"
"DSRT - IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications","DSRT","B1"
"DUXU - International Conference on Design, User Experience, and Usability: Interactive Experience Design","DUXU","B2"
"DYNAK - International Workshop on Dynamic Networks and Knowledge Discovery","DYNAK","B4"
"DaMNet - Workshop on Data Mining in Networks","DaMNet","B4"
"DeMiMoP - Workshop on Decision Mining & Modeling for Business Processes","DeMiMoP","B4"
"DroNet - Workshop on Micro Aerial Vehicle Networks, Systems, and Applications for Civilian Use","DroNet","B4"
"EA - International Conference on Artificial Evolution","EA","B5"
"EAIS - IEEE Conference on Evolving and Adaptive Intelligent Systems","EAIS","B2"
"EANN - Internation Conference on Engineering Applications of Neural Networks","EANN","B3"
"EASE - International Conference on Evaluation and Assessment in Software Engineering","EASE","B1"
"EATIS - Euro American Conference on Telematics and Information Systems","EATIS","B3"
"ECAI - European Conference on Artificial Intelligence","ECAI","A2"
"ECAL - European Conference on Artificial Life","ECAL","B1"
"ECC - European Control Conference","ECC","B2"
"ECCE - European Conference on Cognitive Ergonomics","ECCE","B2"
"ECCTD - European Conference on Circuit Theory and Design","ECCTD","B1"
"ECCV - European Conference on Computer Vision","ECCV","A1"
"ECIR - European Conference on Information Retrieval","ECIR","A2"
"ECIS - European Conference on Information Systems","ECIS","A2"
"ECMFA - European Conference on Modelling Foundations and Applications","ECMDAFA","B1"
"ECML/PKDD - European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases","ECML","A1"
"ECMS - European Conference on Modelling and Simulation","ECMS","B1"
"ECOOP - European Conference on Object-Oriented Programming","ECOOP","A2"
"ECRTS - Euromicro Conference on Real-Time Systems","ECRTS","A1"
"ECSA - European Conference on Software Architecture","ECSA","B1"
"ECSAW - European Conference on Software Architecture Workshops","ECSAW","B4"
"ECSQARU - European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty","ECSQARU","B1"
"ECTA - International Conference on Evolutionary Computation Theory and Applications","ECTA","B5"
"EC-TEL - European Conference on Technology Enhanced Learning","ECTEL","B1"
"ECWeb - International Conference on Electronic Commerce and Web Technologies","ECWeb","B3"
"EDBT - International Conference on Extending Database Technology","EDBT","A1"
"EDCC - European Dependable Computing Conference","EDCC","B3"
"EDM - International Conference on Educational Data Mining","EDM","A2"
"EDOC - IEEE International Enterprise Distributed Object Computing Conference","EDOC","A2"
"EEE - International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","EEEWC","B5"
"EGOV - International Conference on Electronic Government","EGOV","B1"
"EGOVIS - International Conference on Electronic Government and the Information Systems Perspective","EGOVIS","B2"
"EICS - ACM SIGCHI Symposium on Engineering Interactive Computing Systems","EICS","A2"
"EIS - SPIE Human Vision and Electronic Imaging","EIS","B5"
"EMAS - International Workshop on Engineering Multiagent Systems","EMAS","B4"
"EMBC - Annual International Conference of the IEEE Engineering in Medicine and Biology Society","EMBC","B1"
"EMNLP - Conference on Empirical Methods in Natural Language Processing","EMNLP","A1"
"EMO - International Conference on Evolutionary Multi-Criterion Optimization","EMO","B1"
"ENASE - International Conference on Evaluation of Novel Approaches to Software Engineering","ENASE","B2"
"ENERGY - IARIA International Conference on Smart Grids, Green Communications and IT Energy-aware Technologies","ENERGY-IARIA","B5"
"ENIAC - Encontro Nacional de Inteligencia Artificial e Computacional","ENIAC","B4"
"ENIC - European Network Intelligence Conference","ENIC","B2"
"EPAMUS - International Workshop on Engineering Parallel and Multi-core Systems","EPAMUS","B5"
"EPIA - Portuguese Conference on Artificial Intelligence","EPIA","B1"
"ER - International Conference on Conceptual Modeling","ER","B1"
"ERLANG - ACM SIGPLAN Erlang Workshop","ERLANG","B4"
"ESA - European Symposium on Algorithms","ESA","A2"
"ESANN - European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning","ESANN","B1"
"e-Science - IEEE International Conference on e-Science","ESCIENCE","B1"
"ESELAW - Workshop Latinoamericano de Ingeniería de Software Experimental","ESELAW","B4"
"ESEM - ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM","A2"
"ESORICS - European Symposium on Research in Computer Security","ESORICS","A2"
"ESWC - European Semantic Web Conference","ESWS","A1"
"E-Telemed - IARIA International Conference on eHealth, Telemedicine, and Social Medicine","ETELEMED-IARIA","B5"
"ETFA - IEEE International Conference on Emerging Technologies and Factory Automation","ETFA","B2"
"ETRA - Biennial ACM Symposium on Eye Tracking Research & Applications","ETRA","A2"
"ETS - IEEE European Test Symposium","ETS","B1"
"EUC - IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing","EUC","B2"
"EUMAS - European Conference on Multi-Agent Systems","EUMAS","B2"
"EURO - European Conference on Operational Research","EURO","B4"
"EUROCG - European Workshop on Computational Geometry","EUROCG","B5"
"EuroComb - European Conference on Combinatorics, Graph Theory and Applications","EUROCOMB","B5"
"EUROHAPTICS - Eurohaptics","EUROHAPTICS","B3"
"EUROITV - European Conference on Interactive TV and Video","EUROITV","B1"
"SEAA - Euromicro Conference on Software Engineering and Advanced Applications","EUROMICRO","B1"
"EUROPAR - European Conference on Parallel Computing","EUROPAR","A1"
"EuroPKI - European Public Key Infrastructure Workshop","EUROPKI","B4"
"EUROSIM - Congress on Modelling and Simulation","EUROSIM","B5"
"EUROSYS - European Conference on Computer Systems","EUROSYS","A1"
"EUSFLAT - Conference of the European Society for Fuzzy Logic and Technology","EUSFLAT","B1"
"EUSIPCO - European Signal Processing Conference","EUSIPCO","A2"
"EUVIP - European Workshop on Visual Information Processing","EUVIP","B2"
"EVA - Electronic Visualisation and the Arts","EVA","B3"
"EVL-BP - International Workshop on Evolutionary Business Processes","EVLBP","B4"
"EvoApplications - European Conference on the Applications of Evolutionary Computation","EVOAPPLICATIONS","B1"
"EVOCOP - European Conference on Evolutionary Computation in Combinatorial Optimization","EVOCOP","B1"
"EWSDN - European Workshop on Software Defined Networks","EWSDN","B1"
"EWSN - European Conference on Wireless Sensor Networks","EWSN","B2"
"EXAMPI - Workshop on Exascale MPI","EXAMPI","B4"
"EXP.AT - Experiment@ International Conference","EXP.AT","B3"
"EnDM - Workshop on Energy Data Management","EnDM","B5"
"EuroGP - European Conference on Genetic Programming","EuroGP","B1"
"EuroParW - Parallel Processing Workshops","EuroParW","B4"
"EuroPloP - European Conference on Pattern Languages of Programs","EuroPloP","B3"
"EUROSPI2 - European Conference on Software Process Improvement","EuroSPI","B1"
"EuroVAW - EuroVis Workshop on Visual Analytics (EuroVA)","EuroVISW","B5"
"FACS - International Conference on Formal Aspects of Component Software","FACS","B2"
"FASE - International Conference on Fundamental Approaches to Software Engineering","FASE","A2"
"FAW - International Frontiers of Algorithmics Workshop","FAW","B2"
"FCA4AI - Workshop What can FCA do for Artificial Intelligence","FCA4AI","B5"
"FCCM - IEEE Annual International Symposium on Field-Programmable Custom Computing Machines","FCCM","A2"
"FCTA - International Conference on Fuzzy Computation Theory and Applications","FCTA","B4"
"FDL - Forum on Specification and Design Languages","FDL","B2"
"FECS - WS International Conference on Frontiers in Education: Computer Science and Computer Engineering","FECS-WS","B5"
"FedCSIS - Federated Conference on Computer Science and Information Systems","FEDCSIS","B1"
"FG - Conference on Formal Grammar","FG","B2"
"FGR - IEEE International Conference on Automatic Face and Gesture Recognition","FGR","A1"
"FIE - IEEE Frontiers in Education Conference","FIE","B1"
"FINS - International Workshop on Future Internet and Smart Networks","FINS","B5"
"FLAIRS - International Florida Artificial Intelligence Conference","FLAIRS","B1"
"FLINS - International FLINS Conference on Decision Making and Soft Computing","FLINS","B5"
"FLinAI - Workshop on Fuzzy Logic in AI","FLinAI","B4"
"FM - International Symposium on Formal Methods","FM","A2"
"FMCAD - International Conference on Formal Methods in Computer-Aided Design","FMCAD","A2"
"FOCI - IEEE Symposium on Foundations of Computational Intelligence","FOCI","B4"
"FOFAI - International Workshop on Formal Ontologies for Artificial Intelligence","FOFAI","B4"
"FOGA - ACM Conference on Foundations of Genetic Algorithms","FOGA","B3"
"FOIS - International Conference on Formal Ontology in Information Systems","FOIS","B3"
"FORMATS - International Conference on Formal Modeling and Analysis of Timed Systems","FORMATS","B2"
"FOSD - International Workshop on Feature-Oriented Software Development","FOSD","B2"
"FPL - International Conference on Field-Programmable Logic and Applications","FPL","A2"
"FSE/ESEC - Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering","FSE/ESEC","A1"
"FSEW - Workhops of the SIGSOFT FSE International Symposium on Foundations of Software Engineering","FSEW","B4"
"FSKD - International Conference on Fuzzy Systems and Knowledge Discovery","FSKD","B1"
"FSTTCS - Annual Conference on Foundations of Software Technology and Theoretical Computer Science","FSTTCS","B1"
"FTXS - Workshop on Fault Tolerance for HPC at eXtreme Scale","FTXS","B4"
"FUSION - International Conference on Information Fusion","FUSION","A1"
"FUZZIEEE - IEEE International Conference on Fuzzy Systems","FUZZIEEE","B1"
"GAMEON - Annual Simulation and AI in Games Conference","GAMEON","B3"
"GAS - International Workshop on Games and Software Engineering","GAS","B4"
"GCCE - IEEE Global Conference on Consumer Electronics","GCCE","B4"
"GECCO - Genetic and Evolutionary Computation Conference","GECCO","A1"
