"nome_congresso","sigla_congresso","estrato_qualis"
"WP2P+ - Workshop de Redes P2P, Dinâmicas, Sociais e Orientadas a Conteúdo","WP2P+","B5"
"WPEIF - Workshop de Pesquisa Experimental da Internet do Futuro","WPEIF","B5"
"WPerformance - Workshop em Desempenho de Sistemas Computacionais e de Comunicação","WPerformance","B3"
"WRE - Workshop of Robotics in Education","WRE","B5"
"WRLA - International Workshop on Rewriting Logic and its Applications","WRLA","B3"
"WRVA - Workshop de Realidade Virtual e Aumentada","WRVA","B5"
"WSC - Winter Simulation Conference","WSC","A2"
"WSCAD - Simpósio em Sistemas Computacionais de Alto Desempenho","WSCAD","B3"
"WSCG - International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision","WSCG","B3"
"WSDM - ACM Conference International Conference on Web Search and Data Mining","WSDM","A1"
"WSKS - World Summit on the Kowledge Society","WSKS","B2"
"WSL - Workshop de Software Livre","WSL","B5"
"WTF - Workshop de Testes e Tolerância a Falhas","WTF","B5"
"WTTM - Workshop on the Theory of Transactional Memory","WTTM","B5"
"WTRANS - Workshop de Transparência de Sistema","WTranS","B5"
"WUWNet - International Conference on UnderWater Networks and Systems","WUWNET","B3"
"WVC - Workshop de Visão Computacional","WVC","B5"
"WWW - International World Wide Web Conferences","WWW","A1"
"WWWW - International World Wide Web Conference Workshops","WWWW","B4"
"WiSec - ACM Conference on Security & Privacy in Wireless and Mobile Networks","WiSec","B2"
"WoMO - International Workshop on Modular Ontologies","WoMO","B5"
"XP - International Conference on Agile Software Development","XP","B1"
"eKNOW-IARIA - IARIA International Conference on Information, Process, and Knowledge Management","eKNOW","B5"
